sep=, 
timestamp, positionX , positionY , positionZ , orientationX , orientationY , orientationZ 
187.538000000,-0.00161961,-0.00167145,-0.00100765,9.29153e-06,-0.0014951,0.000683928
187.548000000,-0.00162091,-0.00167278,-0.00100765,9.29257e-06,-0.00149511,0.000684485
187.559000000,-0.00162221,-0.00167411,-0.00100765,9.29361e-06,-0.00149512,0.000685043
187.569000000,-0.00162351,-0.00167544,-0.00100765,9.29465e-06,-0.00149513,0.0006856
187.579000000,-0.00162481,-0.00167678,-0.00100765,9.29569e-06,-0.00149514,0.000686157
187.589000000,-0.00162611,-0.00167811,-0.00100765,9.29673e-06,-0.00149515,0.000686715
187.599000000,-0.00162741,-0.00167944,-0.00100765,9.29777e-06,-0.00149516,0.000687272
187.609000000,-0.00162871,-0.00168077,-0.00100765,9.29881e-06,-0.00149517,0.00068783
187.619000000,-0.00163001,-0.0016821,-0.00100765,9.29985e-06,-0.00149518,0.000688387
187.628000000,-0.00163131,-0.00168343,-0.00100765,9.30089e-06,-0.00149519,0.000688945
187.639000000,-0.00163261,-0.00168477,-0.00100765,9.30194e-06,-0.0014952,0.000689502
187.649000000,-0.00163391,-0.0016861,-0.00100765,9.30298e-06,-0.00149521,0.00069006
187.659000000,-0.00163521,-0.00168743,-0.00100765,9.30402e-06,-0.00149522,0.000690617
187.670000000,-0.00163651,-0.00168876,-0.00100765,9.30506e-06,-0.00149523,0.000691175
187.678000000,-0.00163781,-0.00169009,-0.00100765,9.3061e-06,-0.00149524,0.000691733
187.689000000,-0.00163911,-0.00169142,-0.00100765,9.30714e-06,-0.00149525,0.00069229
187.698000000,-0.00164041,-0.00169276,-0.00100765,9.30818e-06,-0.00149526,0.000692848
187.709000000,-0.00164171,-0.00169409,-0.00100765,9.30922e-06,-0.00149527,0.000693406
187.719000000,-0.00164301,-0.00169542,-0.00100765,9.31026e-06,-0.00149528,0.000693963
187.729000000,-0.00164432,-0.00169675,-0.00100765,9.31131e-06,-0.00149529,0.000694521
187.739000000,-0.00164562,-0.00169808,-0.00100765,9.31235e-06,-0.0014953,0.000695079
187.746000000,-0.00164692,-0.00169941,-0.00100765,9.31339e-06,-0.00149531,0.000695637
187.759000000,-0.00164822,-0.00170075,-0.00100765,9.31443e-06,-0.00149532,0.000696195
187.769000000,-0.00164952,-0.00170208,-0.00100765,9.31547e-06,-0.00149533,0.000696752
187.779000000,-0.00165082,-0.00170341,-0.00100765,9.31651e-06,-0.00149534,0.00069731
187.789000000,-0.00165212,-0.00170474,-0.00100765,9.31755e-06,-0.00149535,0.000697868
187.799000000,-0.00165342,-0.00170607,-0.00100765,9.3186e-06,-0.00149536,0.000698426
187.808000000,-0.00165472,-0.0017074,-0.00100765,9.31964e-06,-0.00149537,0.000698984
187.819000000,-0.00165602,-0.00170874,-0.00100765,9.32068e-06,-0.00149538,0.000699542
187.829000000,-0.00165732,-0.00171007,-0.00100765,9.32172e-06,-0.00149539,0.0007001
